symbol,kind,color_name,r,g,b,hex,atomcols_line,rgb_source,rgb_line
H,element,White,1.000000,1.000000,1.000000,#FFFFFF,18,rgbcols-base-1998.def + manual Table 6.4,124
He,element,Aquamarine,0.439216,0.858824,0.576471,#70DB93,19,rgbcols-base-1998.def + manual Table 6.4,1
Li,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,20,rgbcols-base-1998.def + manual Table 6.4,54
Be,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,21,rgbcols-base-1998.def + manual Table 6.4,54
B,element,Pink,0.737255,0.560784,0.560784,#BC8F8F,22,rgbcols-base-1998.def + manual Table 6.4,99
C,element,SlateBlue,0.000000,0.498039,1.000000,#007FFF,23,rgbcols-base-1998.def + manual Table 6.4,111
N,element,Orchid,0.858824,0.439216,0.858824,#DB70DB,24,rgbcols-base-1998.def + manual Table 6.4,97
O,element,Red,1.000000,0.000000,0.000000,#FF0000,25,rgbcols-base-1998.def + manual Table 6.4,102
F,element,YellowGreen,0.600000,0.800000,0.196078,#99CC32,26,rgbcols-base-1998.def + manual Table 6.4,126
Ne,element,Aquamarine,0.439216,0.858824,0.576471,#70DB93,27,rgbcols-base-1998.def + manual Table 6.4,1
Na,element,Yellow,1.000000,1.000000,0.000000,#FFFF00,28,rgbcols-base-1998.def + manual Table 6.4,125
Mg,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,29,rgbcols-base-1998.def + manual Table 6.4,54
Al,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,30,rgbcols-base-1998.def + manual Table 6.4,54
Si,element,Pink,0.737255,0.560784,0.560784,#BC8F8F,31,rgbcols-base-1998.def + manual Table 6.4,99
P,element,Orange,1.000000,0.500000,0.000000,#FF8000,32,rgbcols-base-1998.def + manual Table 6.4,95
S,element,Yellow,1.000000,1.000000,0.000000,#FFFF00,33,rgbcols-base-1998.def + manual Table 6.4,125
Cl,element,Aquamarine,0.439216,0.858824,0.576471,#70DB93,34,rgbcols-base-1998.def + manual Table 6.4,1
Ar,element,Aquamarine,0.439216,0.858824,0.576471,#70DB93,35,rgbcols-base-1998.def + manual Table 6.4,1
K,element,DarkOrchid,0.600000,0.196078,0.800000,#9932CC,36,rgbcols-base-1998.def + manual Table 6.4,21
Ca,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,37,rgbcols-base-1998.def + manual Table 6.4,54
Sc,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,38,rgbcols-base-1998.def + manual Table 6.4,54
Ti,element,Silver,0.900000,0.910000,0.980000,#E6E8FA,39,rgbcols-base-1998.def + manual Table 6.4,109
V,element,LightBlue,0.749020,0.847059,0.847059,#BFD8D8,40,rgbcols-base-1998.def + manual Table 6.4,66
Cr,element,Green,0.000000,1.000000,0.000000,#00FF00,41,rgbcols-base-1998.def + manual Table 6.4,59
Mn,element,Orchid,0.858824,0.439216,0.858824,#DB70DB,42,rgbcols-base-1998.def + manual Table 6.4,97
Fe,element,Orange,1.000000,0.500000,0.000000,#FF8000,43,rgbcols-base-1998.def + manual Table 6.4,95
Co,element,Aquamarine,0.439216,0.858824,0.576471,#70DB93,44,rgbcols-base-1998.def + manual Table 6.4,1
Ni,element,MediumAquamarine,0.196078,0.800000,0.600000,#32CC99,45,rgbcols-base-1998.def + manual Table 6.4,75
Cu,element,CoolCopper,0.850000,0.530000,0.100000,#D9871A,46,rgbcols-base-1998.def + manual Table 6.4,13
Zn,element,Brown,0.647059,0.164706,0.164706,#A52A2A,47,rgbcols-base-1998.def + manual Table 6.4,10
Ga,element,Pink,0.737255,0.560784,0.560784,#BC8F8F,48,rgbcols-base-1998.def + manual Table 6.4,99
Ge,element,Pink,0.737255,0.560784,0.560784,#BC8F8F,49,rgbcols-base-1998.def + manual Table 6.4,99
As,element,Pink,0.737255,0.560784,0.560784,#BC8F8F,50,rgbcols-base-1998.def + manual Table 6.4,99
Se,element,Feldspar,0.820000,0.570000,0.460000,#D19175,51,rgbcols-base-1998.def + manual Table 6.4,33
Br,element,Brown,0.647059,0.164706,0.164706,#A52A2A,52,rgbcols-base-1998.def + manual Table 6.4,10
Kr,element,Pink,0.737255,0.560784,0.560784,#BC8F8F,53,rgbcols-base-1998.def + manual Table 6.4,99
Rb,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,54,rgbcols-base-1998.def + manual Table 6.4,54
Sr,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,55,rgbcols-base-1998.def + manual Table 6.4,54
Y,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,56,rgbcols-base-1998.def + manual Table 6.4,54
Zr,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,57,rgbcols-base-1998.def + manual Table 6.4,54
Nb,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,58,rgbcols-base-1998.def + manual Table 6.4,54
Mo,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,59,rgbcols-base-1998.def + manual Table 6.4,54
Tc,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,60,rgbcols-base-1998.def + manual Table 6.4,54
Ru,element,Orchid,0.858824,0.439216,0.858824,#DB70DB,61,rgbcols-base-1998.def + manual Table 6.4,97
Rh,element,Pink,0.737255,0.560784,0.560784,#BC8F8F,62,rgbcols-base-1998.def + manual Table 6.4,99
Pd,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,63,rgbcols-base-1998.def + manual Table 6.4,54
Ag,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,64,rgbcols-base-1998.def + manual Table 6.4,54
Cd,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,65,rgbcols-base-1998.def + manual Table 6.4,54
In,element,Pink,0.737255,0.560784,0.560784,#BC8F8F,66,rgbcols-base-1998.def + manual Table 6.4,99
Sn,element,Silver,0.900000,0.910000,0.980000,#E6E8FA,67,rgbcols-base-1998.def + manual Table 6.4,109
Sb,element,Plum,0.917647,0.678431,0.917647,#EAADEA,68,rgbcols-base-1998.def + manual Table 6.4,100
Te,element,OldGold,0.810000,0.710000,0.230000,#CFB53B,69,rgbcols-base-1998.def + manual Table 6.4,94
I,element,Aquamarine,0.439216,0.858824,0.576471,#70DB93,70,rgbcols-base-1998.def + manual Table 6.4,1
Xe,element,Pink,0.737255,0.560784,0.560784,#BC8F8F,71,rgbcols-base-1998.def + manual Table 6.4,99
Cs,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,72,rgbcols-base-1998.def + manual Table 6.4,54
Ba,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,73,rgbcols-base-1998.def + manual Table 6.4,54
La,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,74,rgbcols-base-1998.def + manual Table 6.4,54
Ce,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,75,rgbcols-base-1998.def + manual Table 6.4,54
Pr,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,76,rgbcols-base-1998.def + manual Table 6.4,54
Nd,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,77,rgbcols-base-1998.def + manual Table 6.4,54
Pm,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,78,rgbcols-base-1998.def + manual Table 6.4,54
Sm,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,79,rgbcols-base-1998.def + manual Table 6.4,54
Eu,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,80,rgbcols-base-1998.def + manual Table 6.4,54
Gd,element,SkyBlue,0.196078,0.600000,0.800000,#3299CC,81,rgbcols-base-1998.def + manual Table 6.4,110
Tb,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,82,rgbcols-base-1998.def + manual Table 6.4,54
Dy,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,83,rgbcols-base-1998.def + manual Table 6.4,54
Ho,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,84,rgbcols-base-1998.def + manual Table 6.4,54
Er,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,85,rgbcols-base-1998.def + manual Table 6.4,54
Tm,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,86,rgbcols-base-1998.def + manual Table 6.4,54
Yb,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,87,rgbcols-base-1998.def + manual Table 6.4,54
Lu,element,Gray75,0.750000,0.750000,0.750000,#BFBFBF,88,rgbcols-base-1998.def + manual Table 6.4,54
